S/N,Title,Author,Images,Shelflist,Position,Category,SubCategory,Publisher,Description,Tags
6502,Old McDoggle had a zoo,Robin Koontz,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Old-McDoggle-had-a-zoo.jpg,1-4,027,Sách truyện thiếu nhi,0-2 tuổi,Rourke Publishing,"Readers sing along to ""Old McDonald"" as they explore Old McDoggle's zoo, populated by animals like pandas, hyenas, and giraffes.",0-2 tuổi
6550,Ollie the stomper,Olivier Dunrea,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/ollie-the-stomper.png,2-2,053,Sách truyện thiếu nhi,0-2 tuổi,Houghton Mifflin,"Gossie wears red boots, Gertie wears blue boots, but Ollie has no boots. Stomping bootless after Gossie and Gertie as they tromp in the straw, romp in the rain, and jump over puddles in their colorful boots leaves Ollie frustrated. Little Ollie decides he really wants his own pair of boots. . . but what will he do if he gets them?",0-2 tuổi
6551,Ollie the stomper,Olivier Dunrea,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/ollie-the-stomper.png,3-1,065,Sách truyện thiếu nhi,0-2 tuổi,Houghton Mifflin,"Gossie wears red boots, Gertie wears blue boots, but Ollie has no boots. Stomping bootless after Gossie and Gertie as they tromp in the straw, romp in the rain, and jump over puddles in their colorful boots leaves Ollie frustrated. Little Ollie decides he really wants his own pair of boots. . . but what will he do if he gets them?",0-2 tuổi
6619,Open shut,Apple Jordan,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Open-shut.jpg,1-4,058,Sách truyện thiếu nhi,0-2 tuổi,Cavendish Square Publishing,Students will learn about the idea of opposites and the concept of story.,0-2 tuổi
6624,Opposites: big and little,Luana Mitten,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Opposites-big-and-little.jpg,1-4,026,Sách truyện thiếu nhi,0-2 tuổi,Rourke Educational Media,Big and little are used as examples for this basic concept book about opposites.,0-2 tuổi
6785,People in my community: mail carriers,Joann Early Macken,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/People-in-my-community-mail-carriers.jpg,27-2,076,Sách tham khảo,Nghề nghiệp,Gareth Stevens Publishing,Photographs and simple text describe the work done by mail carriers.,10-12 tuổi
6881,Pirate nap: a book of colors,Danna Smith,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Pirate-nap-a-book-of-colors.jpg,2-3,033,Sách truyện thiếu nhi,0-2 tuổi,Clarion Books,What better place for naptime than a grand pirate ship on the high seas?,0-2 tuổi
6918,Please take me for a walk,Susan Gal,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/please-take-me-for-a-walk.jpg,2-2,019,Sách truyện thiếu nhi,0-2 tuổi,Knopf Books for Young Readers,"Please Take Me for a Walk is a celebration of dogs and kids and community.

The book stars a very persuasive pup pleading with his best friend—the reader!—to take him for a walk. He recounts all the fun things they can see and do: chase squirrels in the yard, greet neighbors on their block, visit the shopkeepers downtown, swing by the schoolyard, and then run and play in the park. The dog run at the park is filled with all kinds of amazing purebreds and mutts, and our puppy wants them all to see ""my best friend and me.""

Susan Gal uses this story of a dog's best walk ever to catalog all the favorite places in a child's world. She starts in the house and the yard, then widens her scope to the block, the neighborhood, downtown, and the park. And she captures the magical way the people of a community can be brought together through their pets.

The dog's enthusiastic voice and eagerness to go out walking will resonate with any dog owner. And Susan Gal's artwork is so enticing and adorable it will have even confirmed cat lovers heading for the pound!

Happy walking, everyone!",0-2 tuổi
6937,"Polar bear, polar bear, what do you hear?",Eric Carle,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Polar-bear-polar-bear-what-do-you-hear.jpg,3-1,015,Sách truyện thiếu nhi,0-2 tuổi,Henry Holt and Co. (BYR),"Bill Martin's playful story combining animals, colours and sounds, beautifully illustrated by Eric Carle, now appears in a chunky board-book format. A simple rhymathic text introduces the reader to a menagerie of wild animals from a roaring lion to a fluting flamingo and a trumpeting elephant.",0-2 tuổi
6943,Police officers in our community,Michelle Ames,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Police-officers-in-our-community.jpg,27-2,080,Sách tham khảo,Nghề nghiệp,Powerkids Press,Police officers work hard and take major risks to keep us safe every day. Your students will learn about the different ways these important men and women improve our way of life.,10-12 tuổi
6965,"Poop collectors, armpit sniffers, and more",Alvin Silverstein,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Poop-collectors-armpit-sniffers-and-more.jpg,27-2,042,Sách tham khảo,Nghề nghiệp,Enslow Publishers,"Explores various 'yucky' jobs, including crime-scene cleaning, pig farming, snake milking, and more.",10-12 tuổi
6986,Pop-up fun: count with me,Mary Novick,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Pop-up-fun-count-with-me.jpg,3-4,002,Sách truyện thiếu nhi,0-2 tuổi,Hardie Grant Egmont,Open the pages for,0-2 tuổi
7107,Puppies,Laura Ellen Anderson,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/puppies.jpg,1-3,064,Sách truyện thiếu nhi,0-2 tuổi,Boxer Books,"Woof! Woof! Woof!' Puppies bark, puppies dig, puppies nuzzle, puppies cuddle. Some are big, some are small, and almost all of them make a mess. One thing's for sure: every one of the noisy, mischievous puppies captured in these humorous vignettes is utterly, absolutely irresistible.",0-2 tuổi
7113,Puppy Mudge takes a bath,Cynthia Rylant,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/puppy-mudge-takes-a-bath.jpg,1-2,029,Sách truyện thiếu nhi,0-2 tuổi,Simon Spotlight,"Henry's puppy, Mudge, loves to roll in the mud. But he doesn't like to take a bath! It's fun, though, when Henry joins him in the tub and they both come out sparkling clean - but not for long...",0-2 tuổi
7114,Puppy Mudge takes a bath,Cynthia Rylant,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/puppy-mudge-takes-a-bath.jpg,1-2,030,Sách truyện thiếu nhi,0-2 tuổi,Simon Spotlight,"Henry's puppy, Mudge, loves to roll in the mud. But he doesn't like to take a bath! It's fun, though, when Henry joins him in the tub and they both come out sparkling clean - but not for long...",0-2 tuổi
7154,Quick duck,Mary Murphy,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Quick-duck.jpg,3-4,063,Sách truyện thiếu nhi,0-2 tuổi,Candlewick Press (MA),"Where is that duck going in such a hurry? Mary Murphy brings her surefire baby appeal to this bright concept book. This little duckie needs to be quick-quack-quick -- leaping out of the mud, scooting under the hedge, running around the flowers, and skipping over the stones. Now he can splash into the river, where his mom and siblings are waiting and ready to go!",0-2 tuổi
7167,Rachel Rabbit learns to count,Sterling,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Rachel-Rabbit-learns-to-count.jpg,1-3,049,Sách truyện thiếu nhi,0-2 tuổi,Balloon Books,"How many ears does Rachel Rabbit have? She doesn't know--she can't count yet! Children learning their numbers will happily join this charming bunny and her daddy as they count 1 cuddly rabbit, 2 wheels on the scooter, 3 colored balls, 4 flags, 5 fishes swimming...all the way up to 10 carrots in a big, yummy cake.",0-2 tuổi
7182,Rain brings frogs,Maryann Cocca-Leffler,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Rain-brings-frogs.jpg,3-3,043,Sách truyện thiếu nhi,0-2 tuổi,HarperCollins Publishers Inc,"Behind every cloud there is sun. Nate always sees the bright side of life. While others complain about rain, Nate is happy about the frogs that it brings. When you might think there is nothing to do, Nate is just happy to enjoy the view. Instead of wanting more, Nate is grateful for what he's got. Smile along with Nate as he enjoys all the good things life has to offer.",0-2 tuổi
7220,Read with me: let's play,William Murray,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Read-with-me-let_s-play.jpg,4-1,061,Sách truyện thiếu nhi,0-2 tuổi, Ladybird,A fun reading scheme that uses the 'look and say' approach to learning to read. Essential key words are introduced and regularly repeated to assist with pronunciation and meaning. Level one is for starter readers.,0-2 tuổi
7281,"Red, the battery hen",Lyn Traill,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Red-the-battery-hen.jpg,4-1,049,Sách truyện thiếu nhi,0-2 tuổi,Cambridge University Press,"Part of the Pobblebonk back-to-basics shared reading program.""Pobblebonk Reading"" is a set of shared reading material for the early years that encourage children to read and repeat words along with the teacher and that lead to independent reading.",0-2 tuổi
7319,Ribbit rabbit,Candace Ryan,https://lotuscommunity.org.vn/wp-content/uploads/2021/03/Ribbit-rabbit.jpg,1-2,009,Sách truyện thiếu nhi,0-2 tuổi,Bloomsbury Children's,"Frog and Bunny are best friends. RIBBIT, RABBIT! They do everything together, like fight monsters (ZIP IT, ZAP IT!). And even though they get in fights sometimes-YIP IT, YAP IT!-they always make up in the end.

Ribbit Rabbit features an effortlessly clever text that, in less than 150 words, captures the ups and downs of young friendships. Combined with adorably fresh illustrations by the prolific Mike Lowery, Ribbit Rabbit is the perfect choice to read aloud with youngest of readers.",0-2 tuổi
